medal,beer_name,brewery,city,state,category,year,macro_category,state_area,region,state_name,state_division
Gold,Vintage Ale,Great Dane Pub & Brewing Co. (The),Madison,WI,Old Ale/Strong Ale,2006,ale,56154,North Central,Wisconsin,East North Central
Silver,Tripel Exultation,Eel River Brewing Co.,Fortuna,CA,Old Ale/Strong Ale,2006,ale,158693,West,California,Pacific
Bronze,Curmudgeons Nip,Odell Brewing Co.,Fort Collins,CO,Old Ale/Strong Ale,2006,ale,104247,West,Colorado,Mountain
Silver,Dragonstooth Stout,Elysian Brewing Co.,Seattle,WA,Other Strong Ale or Lager,2006,ale,68192,West,Washington,Pacific
Bronze,Pit Bull High Gravity Ice Malt Liquor,Pig's Eye Brewing Co. LLC,St Paul,MN,Other Strong Ale or Lager,2006,ale,84068,North Central,Minnesota,West North Central
Bronze,Whale's Tale Pale Ale,Odell Brewing Co.,Fort Collins,CO,Pro-Am Competition,2006,other,104247,West,Colorado,Mountain
Gold,Baltic Porter,Foothills Brewing,Winston-Salem,NC,Proam,2006,other,52586,South,North Carolina,South Atlantic
Silver,Hop Dog IPA,Papago Brewing Co.,Scottsdale,AZ,Proam,2006,other,113909,West,Arizona,Mountain
Bronze,Whale's Tale Pale Ale,Odell Brewing Co.,Fort Collins,CO,Proam,2006,other,104247,West,Colorado,Mountain
Silver,Pacemaker Porter,Flyers Restaurant and Brewery,Oak Harbor,WA,Robust Porter,2006,porter,68192,West,Washington,Pacific
Bronze,Total Eclipse Black Ale,Hoppy Brewing Co.,Sacramento,CA,Robust Porter,2006,porter,158693,West,California,Pacific
Silver,Sun Rye,Redhook Ale Brewery,Woodinville,NH,Rye Beer,2006,rye,9304,Northeast,New Hampshire,New England
Bronze,Surfer in the Rye,Huntington Beach Beer Co.,Huntington Beach,CA,Rye Beer,2006,rye,158693,West,California,Pacific
Gold,Laughing Lab Scottish Ale,Bristol Brewing Co.,Colorado Springs,CO,Scottish-Style Ale,2006,ale,104247,West,Colorado,Mountain
Silver,MacPelican's Scottish Style Ale,Pelican Pub & Brewery,Pacific City,OR,Scottish-Style Ale,2006,ale,96981,West,Oregon,Pacific
Bronze,Kiltlifter Scottish Ale,Pug Ryan's Brewery,Dillon,CO,Scottish-Style Ale,2006,ale,104247,West,Colorado,Mountain
Gold,Smoke Creek Rauchbier,Great Basin Brewing Co.,Sparks,NV,Smoke-Flavored Beer,2006,flavored,110540,West,Nevada,Mountain
Silver,Smokestack Porter,Rocky River Brewing Co.,Rocky River,OH,Smoke-Flavored Beer,2006,flavored,41222,North Central,Ohio,East North Central
Bronze,Stewart's Smoked Porter,Stewart's Brewing Co.,Bear,DE,Smoke-Flavored Beer,2006,flavored,2057,South,Delaware,South Atlantic
Gold,Mueller Hefeweizen,Springfield Brewing Co.,Springfield,MO,South German-Style Hefeweizen/Hefeweissbier,2006,hefeweizen,69686,North Central,Missouri,West North Central
Bronze,In-Heat Wheat Hefeweizen,Flying Dog Brewery,Denver,CO,South German-Style Hefeweizen/Hefeweissbier,2006,hefeweizen,104247,West,Colorado,Mountain
Gold,Smokin' Mesquite Ale,Humperdinks Restaurant and Brewery,Dallas,TX,Specialty Beer,2006,other,267339,South,Texas,West South Central
Bronze,Maple Nut Brown Ale,Tommyknocker Brewery,Idaho Springs,CO,Specialty Beer,2006,other,104247,West,Colorado,Mountain
Gold,Blue Moon Honeymoon,Blue Moon Brewing Co.,Golden,CO,Specialty Honey Lager or Ale,2006,ale,104247,West,Colorado,Mountain
Silver,Ray's Honey Rye,Boscos Brewing Co.,Memphis,TN,Specialty Honey Lager or Ale,2006,ale,42244,South,Tennessee,East South Central
Silver,Highland Scotch Reserve,Boundary Bay Brewery,Bellingham,WA,Strong Scotch Ale,2006,ale,68192,West,Washington,Pacific
Bronze,Rambeaux,Ram Restaurant and Big Horn Brewery - Seattle,Seattle,WA,Strong Scotch Ale,2006,ale,68192,West,Washington,Pacific
Gold,Udder Goodness,Rock Bottom Brewery - Desert Ridge,Desert Ridge,AZ,Sweet Stout,2006,stout,113909,West,Arizona,Mountain
Silver,Steel Toe Stout,Ska Brewing Co.,Durango,CO,Sweet Stout,2006,stout,104247,West,Colorado,Mountain
Bronze,The Duck-Rabbit Milk Stout,Duck-Rabbit Craft Brewery Inc (The),Farmville,NC,Sweet Stout,2006,stout,52586,South,North Carolina,South Atlantic
Silver,Balto Marz Hon,Clipper City Brewing Co.,Baltimore,MD,Vienna-Style Lager,2006,lager,10577,South,Maryland,South Atlantic
Bronze,Schild brau Amber,Millstream Brewing Co.,Amana,IA,Vienna-Style Lager,2006,lager,56290,North Central,Iowa,West North Central
Gold,Cherry Stout,New Glarus Brewing Co.,New Glarus,WI,Wood- and Barrel-aged Beer,2006,aged,56154,North Central,Wisconsin,East North Central
